Disease	Acc_Id	Annotations	Annotated Genes	Strains	Matched By
16q24.3 microdeletion syndrome	DOID:9003864	31	Acsf3(1586037 - Rat);Ankrd11(1306679 - Rat);Aprt(1307758 - Rat);Banp(1307464 - Rat);Car5a(2243 - Rat);Cbfa2t3(1310547 - Rat);Cdh15(1303000 - Rat);Cdt1(1309211 - Rat);Cpne7(1307466 - Rat);Ctu2(1562594 - Rat);Cyba(620573 - Rat);Fbxo31(1561069 - Rat);Galns(1565391 - Rat);Il17c(1582798 - Rat);Jph3(1308416 - Rat);Klhdc4(1561676 - Rat);LOC687560(1584205 - Rat);Map1lc3b(621315 - Rat);Mvd(621292 - Rat);Pabpn1l(1562761 - Rat);Piezo1(1308822 - Rat);Rnf166(1302950 - Rat);Rpl13(621179 - Rat);Slc7a5(620639 - Rat);Snai3(1309658 - Rat);Trappc2l(1304906 - Rat);Zc3h18(1303257 - Rat);Zcchc14(1309494 - Rat);Zfp26(1565847 - Rat);Zfp469(1583874 - Rat);Zfpm1(1582810 - Rat)		term
2,4-dienoyl-CoA reductase deficiency	DOID:9005948	2	Decr1(70999 - Rat);Nadk2(1306809 - Rat)		term
2-aminoadipic 2-oxoadipic aciduria	DOID:0111453	1	Dhtkd1(1308092 - Rat)		term
2-hydroxyglutaric aciduria	DOID:0050573	59	Agxt(2073 - Rat);Ankmy1(1595229 - Rat);Ano7(1302987 - Rat);Aqp12a(1562727 - Rat);Asb1(1310760 - Rat);Atg4b(1309664 - Rat);Bok(70984 - Rat);Capn10(69354 - Rat);Col6a3(1308704 - Rat);Cops9(1596701 - Rat);D2hgdh(1307976 - Rat);Dmac2l(1359208 - Rat);Dtymk(1309614 - Rat);Dusp28(1595220 - Rat);Erfe(1584688 - Rat);Espnl(1562432 - Rat);Farp2(1308003 - Rat);Gal3st2(1593854 - Rat);Gjb1(61926 - Rat);Gpc1(61853 - Rat);Gpr35(1309404 - Rat);Hdac4(619979 - Rat);Hdlbp(620962 - Rat);Hes6(1312047 - Rat);Idh2(1597139 - Rat);Ilkap(620128 - Rat);Ing5(1307908 - Rat);Kif1a(1304996 - Rat);Klhl30(1309644 - Rat);L2hgdh(1306250 - Rat);Lrrfip1(1359548 - Rat);Mab21l4(1563692 - Rat);Mlph(1310733 - Rat);Mterf4(1562440 - Rat);Ndufa10(727968 - Rat);Neu4(1308624 - Rat);Or6b2(1332746 - Rat);Otos(708465 - Rat);Pask(1306146 - Rat);Pdcd1(1311658 - Rat);Per2(61945 - Rat);Ppp1r7(1308169 - Rat);Prlh(628634 - Rat);Prr21(9102085 - Rat);Rab17(1562478 - Rat);Ramp1(61870 - Rat);Rbm44(1566074 - Rat);Rnpepl1(1595210 - Rat);Scly(1359514 - Rat);Septin2(620056 - Rat);Slc25a1(3703 - Rat);Sned1(1566079 - Rat);Sos2(620435 - Rat);Stk25(727809 - Rat);Thap4(1359473 - Rat);Traf3ip1(1309252 - Rat);Twist2(621286 - Rat);Ube2f(1307608 - Rat);Vcpkmt(7565188 - Rat)		term
2-methylbutyryl-CoA dehydrogenase deficiency	DOID:9003149	2	Acadsb(2013 - Rat);Ikzf5(1310965 - Rat)		term
3-hydroxy-3-methylglutaryl-CoA lyase deficiency	DOID:9006234	3	Fuca1(2636 - Rat);Gale(621493 - Rat);Hmgcl(620554 - Rat)		term
3-hydroxyacyl-CoA dehydrogenase deficiency	DOID:9001715	1	Hadh(69321 - Rat)		term
3-hydroxyisobutyric aciduria	DOID:9002074	0			term
3MC syndrome	DOID:0060225	20	Adipoq(628748 - Rat);Ahsg(2075 - Rat);Chd7(1311921 - Rat);Colec10(1307149 - Rat);Colec11(1309678 - Rat);Crygs(1587483 - Rat);Dnajb11(1307373 - Rat);Eif4a2(1309225 - Rat);Fetub(69293 - Rat);Hrg(619808 - Rat);Kng2(2980 - Rat);LOC120095726(41192302 - Rat);Masp1(620213 - Rat);Rfc4(1310142 - Rat);Rpl39l(1561345 - Rat);Rtp1(1560980 - Rat);Slc26a2(620622 - Rat);Snora81(41259569 - Rat);St6gal1(3676 - Rat);Tbccd1(1309604 - Rat)		term
3-methylcrotonyl-CoA carboxylase deficiency	DOID:0050710	2	Mccc1(1310615 - Rat);Mccc2(1310279 - Rat)		term
3-methylglutaconic aciduria	DOID:0060336	14	Auh(1306087 - Rat);Ccdc39(1306277 - Rat);Clpb(621328 - Rat);Dnajc19(1560220 - Rat);Dnase1l1(1359588 - Rat);Fkbp1a(2617 - Rat);Fxr1(1311733 - Rat);Htra2(1308906 - Rat);Loxl3(1311011 - Rat);Mest(1594589 - Rat);Opa3(1309147 - Rat);Serac1(1565064 - Rat);Tafazzin(1588532 - Rat);Timm50(1587684 - Rat)		term
3-methylglutaconic aciduria	HP:0003535	0			term
3-methylglutaconic aciduria type 1	DOID:0110002	1	Auh(1306087 - Rat)		term
3-methylglutaconic aciduria type 3	DOID:0110004	2	Dnajc19(1560220 - Rat);Opa3(1309147 - Rat)		term
3-methylglutaconic aciduria type 4	DOID:0110006	0			term
3-methylglutaconic aciduria type 5	DOID:0110000	3	Ccdc39(1306277 - Rat);Dnajc19(1560220 - Rat);Fxr1(1311733 - Rat)		term
3-methylglutaconic aciduria type 8	DOID:0070000	2	Htra2(1308906 - Rat);Loxl3(1311011 - Rat)		term
3-methylglutaconic aciduria type 9	DOID:0070002	1	Timm50(1587684 - Rat)		term
3-M syndrome	DOID:0060241	3	Ccdc8(1359717 - Rat);Cul7(1587048 - Rat);Obsl1(1306073 - Rat)		term
45,X/46,XY mixed gonadal dysgenesis	DOID:0080656	0			term
49,XXXXX syndrome	DOID:9000979	0			term
5-oxoprolinase deficiency	DOID:9006099	1	Oplah(620956 - Rat)		term
AA amyloidosis	HP:4000041	0			term
AA amyloidosis	MP:0021146	0			term
Aagenaes syndrome	DOID:6691	0			term
Aarskog syndrome	DOID:0111824	2	Fgd1(1565188 - Rat);Tsr2(1562416 - Rat)		term
Abetalipoproteinemia	DOID:1386	2	Mttp(1308388 - Rat);Slc4a1(3710 - Rat)		term
Abetalipoproteinemia	HP:0008181	0			term
Ablepharon macrostomia syndrome	DOID:0060550	1	Twist2(621286 - Rat)		term
Abruzzo-Erickson syndrome	DOID:0111826	1	Tbx22(1589764 - Rat)		term
Acalvaria	DOID:9004574	0			term
Accessory pancreas	DOID:9003683	0			term
Aceruloplasminemia	DOID:0050711	30	Agtr1a(2070 - Rat);Ankub1(2320491 - Rat);Clrn1(628779 - Rat);Commd2(1588810 - Rat);Cp(2387 - Rat);Cpa3(2390 - Rat);Cpb1(2391 - Rat);Eif2a(1589591 - Rat);Erich6(1559451 - Rat);Gpr171(1585271 - Rat);Gpr87(1307852 - Rat);Gyg1(621785 - Rat);Hltf(1309031 - Rat);Hps3(1310548 - Rat);Igsf10(735030 - Rat);Med12l(1592212 - Rat);Mindy4b(11362385 - Rat);P2ry12(621681 - Rat);P2ry13(1302941 - Rat);P2ry14(70912 - Rat);Pfn2(621826 - Rat);Rnf13(1594062 - Rat);Selenot(1359128 - Rat);Serp1(620790 - Rat);Siah2(620778 - Rat);Slc40a1(620180 - Rat);Tm4sf1(1309652 - Rat);Tm4sf4(621784 - Rat);Tsc22d2(1593169 - Rat);Wwtr1(1559609 - Rat)		term
Aceruloplasminemia	HP:0025498	0			term
Acheiropody	DOID:0050603	1	Lmbr1(1563910 - Rat)		term
Achondrogenesis	DOID:0080043	3	Col2a1(2375 - Rat);Slc26a2(620622 - Rat);Trip11(1586166 - Rat)		term
Achondroplasia	DOID:4480	15	Acan(68358 - Rat);B4galt7(1309214 - Rat);Col2a1(2375 - Rat);Comp(2378 - Rat);Fbn1(620908 - Rat);Fgfr3(620714 - Rat);Hspg2(621770 - Rat);Kif7(1310310 - Rat);Nppc(620850 - Rat);Npr2(620851 - Rat);Pthlh(3441 - Rat);Slc26a2(620622 - Rat);Spred2(1309304 - Rat);Tor1a(628863 - Rat);Trip11(1586166 - Rat)		term
Achromatopsia	DOID:13911	7	Atf6(1305471 - Rat);Cabp4(1306083 - Rat);Cnga3(70948 - Rat);Cngb3(1565364 - Rat);Gnat2(1309514 - Rat);Opn1mw(620978 - Rat);Pde6c(1309844 - Rat)		term
Achromatopsia	HP:0011516	0			term
Ackerman syndrome	DOID:9004986	0			term
